[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.11.0.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.11.2.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.12.1.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.10.1.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.12.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.13.0.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.1.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.3.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.5.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-light-300-5.8.0.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.9.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.1.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.10.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.13.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.0.11.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.2.0.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.1.0.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.4.0.eot IP 66.249.88.73 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:53] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.4.1.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:54] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.1.1.eot IP 66.249.88.67 Analytics 5f8c0f8316c18 [] []
[2020-10-18 04:48:54] my_logger.INFO: Not Allowed (404): GET /assets/frondend/default/recursos/fontawesome/webfonts/pro-fa-regular-400-5.6.1.eot IP 66.249.88.70 Analytics 5f8c0f8316c18 [] []
